Fastanúmer;Svæði;Brunabótamat;Lóðamat;Fasteignamat2016;Fasteignamat2017
2018908;Austurbær;25700000;4710000;32800000;36650000
2019141;Austurbær;18200000;3770000;23450000;26450000
2018912;Austurbær;31350000;5480000;37450000;41400000
2018944;Austurbær;23750000;4950000;33050000;36950000
2018909;Austurbær;20650000;4090000;25250000;28400000
2018949;Austurbær;23750000;4040000;25350000;28550000
2018886;Austurbær;26540000;4910000;30950000;34450000
2018913;Austurbær;20000000;3950000;24600000;27700000
2018907;Austurbær;34450000;6040000;41550000;46400000
2018729;Austurbær;13450000;2790000;17500000;19850000
2019241;Austurbær;35850000;5790000;39050000;43450000
2010923;Austurbær;15450000;2980000;17800000;20650000
2019222;Austurbær;21900000;4080000;25400000;28550000
2019242;Austurbær;14200000;2770000;19250000;21800000
2019244;Austurbær;18250000;3750000;23300000;26300000
2034550;Austurbær;13150000;2530000;17250000;19700000
2019246;Austurbær;28650000;5010000;34600000;38650000
2019233;Austurbær;25400000;4900000;31100000;34800000
2010921;Austurbær;17800000;3580000;23450000;27150000
2019813;Austurbær;13100000;2710000;18500000;21850000
2019814;Austurbær;12850000;2670000;18150000;21400000
2011082;Austurbær;13600000;2920000;19100000;22200000
2019895;Austurbær;13100000;2890000;19850000;23450000
2019724;Austurbær;12450000;2690000;17800000;20750000
2019332;Austurbær;23260000;4490000;30650000;34500000
2011078;Austurbær;16300000;3310000;21900000;25300000
2019720;Austurbær;12650000;2690000;17650000;20500000
2019514;Austurbær;29900000;4780000;32750000;36050000
2019723;Austurbær;12750000;2690000;17700000;20550000
2011073;Austurbær;23200000;4050000;26550000;30350000
2019742;Austurbær;12850000;2690000;18300000;21600000
2019861;Austurbær;12950000;2840000;18650000;21600000
2019896;Austurbær;15250000;3090000;21900000;25800000
2019722;Austurbær;12750000;2690000;17700000;20550000
2021134;Austurbær;22800000;4680000;27750000;31200000
2021170;Austurbær;25250000;4820000;30800000;34600000
2021044;Austurbær;27900000;5400000;34850000;39100000
2021914;Austurbær;23650000;4560000;32350000;36300000
2021929;Austurbær;24050000;4300000;30500000;34100000
2011155;Austurbær;15400000;2860000;18550000;21600000
2021169;Austurbær;24950000;4780000;30850000;34700000
2021171;Austurbær;24500000;4730000;30200000;33950000
2021672;Austurbær;19950000;4160000;27800000;32250000
2036221;Austurbær;12950000;2380000;15300000;17400000
2021176;Austurbær;25550000;4780000;30850000;34700000
2022126;Austurbær;23750000;4490000;28800000;32650000
2021164;Austurbær;25050000;4790000;30900000;34750000
2022089;Austurbær;19950000;4060000;26050000;29600000
2021172;Austurbær;26150000;4800000;30950000;34850000
2021765;Austurbær;25300000;4690000;29850000;33700000
2021543;Austurbær;33670000;5810000;37900000;42800000
2022414;Austurbær;17150000;3240000;20800000;23600000
2022545;Austurbær;27420000;4940000;34150000;37750000
2011320;Austurbær;26700000;5230000;32650000;35950000
2022546;Austurbær;15300000;3210000;22450000;25250000
2011487;Austurbær;14800000;3230000;20950000;23250000
2022127;Austurbær;24000000;4550000;29200000;33100000
2022413;Austurbær;20450000;3630000;23300000;26400000
2022417;Austurbær;20000000;3620000;23250000;26350000
2011493;Austurbær;18950000;3680000;23600000;26200000
2022406;Austurbær;18900000;3660000;23600000;26700000
2036695;Austurbær;14200000;3000000;18050000;20450000
2011777;Austurbær;19950000;4230000;26250000;29050000
2036775;Austurbær;23300000;4680000;28500000;31900000
2036774;Austurbær;23400000;4680000;28500000;31900000
2012006;Austurbær;12050000;2730000;16950000;18950000
2011943;Austurbær;17900000;3700000;22750000;25050000
2036814;Austurbær;38680000;6820000;42250000;46650000
2036815;Austurbær;38680000;6820000;42300000;46700000
2037568;Austurbær;24250000;4800000;30050000;33500000
2037566;Austurbær;24300000;4810000;29750000;33300000
2037567;Austurbær;23300000;4810000;29950000;33400000
2037569;Austurbær;15000000;3250000;20050000;22600000
2037967;Austurbær;27100000;5180000;31400000;35000000
2038119;Austurbær;25400000;5160000;31600000;35400000
2038120;Austurbær;27300000;5160000;31700000;35550000
2013716;Austurbær;14350000;3200000;18500000;20950000
2029750;Austurbær;24050000;5530000;33950000;38300000
2029879;Austurbær;17450000;3960000;23700000;26800000
2029749;Austurbær;27100000;6150000;37700000;42450000
2029745;Austurbær;30000000;6210000;37700000;42350000
2029810;Austurbær;17550000;3980000;23850000;27000000
2029752;Austurbær;25500000;5510000;33800000;38150000
2029753;Austurbær;32200000;6250000;39650000;44450000
2029877;Austurbær;28120000;5240000;34500000;38400000
2029748;Austurbær;24000000;5530000;33950000;38300000
2029751;Austurbær;28900000;6190000;37950000;42700000
2029880;Austurbær;29310000;5280000;35750000;39700000
2029746;Austurbær;26800000;6000000;33550000;37700000
2029881;Austurbær;29020000;5350000;35900000;39800000
2029895;Austurbær;11600000;3080000;20500000;23300000
2029906;Austurbær;28980000;5890000;38150000;42600000
2029893;Austurbær;21800000;4650000;30650000;34600000
2030073;Austurbær;27850000;5310000;34350000;38700000
2029894;Austurbær;21300000;4660000;30700000;34650000
2030070;Austurbær;26450000;5360000;35400000;39300000
2030159;Austurbær;26200000;5470000;36050000;40500000
2030157;Austurbær;17250000;4180000;27800000;31350000
2030307;Austurbær;21500000;4940000;30300000;34300000
2030472;Austurbær;25600000;4980000;30600000;34600000
2030469;Austurbær;25200000;4980000;30500000;34450000
2030308;Austurbær;26500000;4950000;31000000;35000000
2030470;Austurbær;25900000;4980000;30950000;34950000
2032271;Austurbær;24050000;5000000;31000000;35100000
2031445;Austurbær;8010000;2170000;12700000;14600000
2032066;Austurbær;28450000;5030000;31550000;35100000
2030789;Austurbær;17000000;4070000;26550000;30000000
2030787;Austurbær;26550000;5370000;35000000;39400000
2031650;Austurbær;27310000;4700000;30050000;34400000
2014750;Austurbær;20100000;3650000;24200000;27850000
2031448;Austurbær;25150000;5240000;34900000;39150000
2014746;Austurbær;22500000;4100000;26300000;30250000
2031652;Austurbær;27450000;4700000;29750000;34050000
2031451;Austurbær;21100000;4850000;29050000;32700000
2031728;Austurbær;31780000;5630000;34800000;39500000
2032280;Austurbær;30610000;5540000;34700000;38850000
2032307;Austurbær;32880000;6390000;39700000;44350000
2032350;Austurbær;26470000;5280000;32100000;35950000
2032284;Austurbær;34020000;6090000;39150000;43850000
2032306;Austurbær;21350000;4700000;29200000;33100000
2014919;Austurbær;19050000;3320000;22000000;24800000
2032309;Austurbær;33030000;6420000;39450000;44050000
2032282;Austurbær;34020000;6090000;38750000;43550000
2032281;Austurbær;17650000;3950000;23950000;27250000
2032283;Austurbær;25270000;4720000;29600000;33600000
2032368;Austurbær;19750000;4310000;26200000;29700000
2032365;Austurbær;24600000;5200000;31600000;35750000
2032355;Austurbær;25050000;4980000;31350000;35300000
2032391;Austurbær;23600000;4970000;30850000;34850000
2032363;Austurbær;24600000;5130000;31850000;35950000
2032354;Austurbær;32980000;6230000;39250000;43700000
2032366;Austurbær;31780000;6220000;39000000;43450000
2032367;Austurbær;24750000;5200000;32650000;36750000
2032351;Austurbær;28780000;5430000;34150000;38150000
2032353;Austurbær;28580000;5500000;34600000;38750000
2032361;Austurbær;33120000;6270000;39500000;43950000
2032362;Austurbær;22450000;4800000;29100000;32950000
2032352;Austurbær;33330000;6230000;39250000;43800000
2032390;Austurbær;21950000;4740000;29100000;33000000
2033351;Austurbær;19850000;4130000;25550000;28700000
2033298;Austurbær;27250000;4590000;30150000;33650000
2033296;Austurbær;30090000;4590000;31050000;34600000
2032443;Austurbær;30540000;5260000;32400000;36700000
2032445;Austurbær;33490000;5710000;35100000;39650000
2032393;Austurbær;23850000;5050000;31350000;35500000
2033294;Austurbær;27200000;4590000;30150000;33650000
2032446;Austurbær;30540000;5260000;32650000;37150000
2032444;Austurbær;21190000;3680000;23550000;26850000
2033352;Austurbær;6590000;1685000;9590000;11000000
2032485;Austurbær;23110000;4010000;25500000;29100000
2033395;Austurbær;23900000;4400000;28250000;31550000
2033400;Austurbær;29200000;5080000;33350000;37100000
2033394;Austurbær;26400000;4820000;31250000;34900000
2033353;Austurbær;9300000;2340000;13300000;15150000
2033430;Austurbær;36150000;5910000;39850000;43950000
2033354;Austurbær;6650000;1710000;9730000;11150000
2033429;Austurbær;22550000;4150000;25350000;28350000
2033396;Austurbær;26950000;4820000;31250000;34800000
2033939;Austurbær;18050000;3480000;21650000;24400000
2033707;Austurbær;24550000;4360000;27850000;30900000
2033708;Austurbær;28000000;4890000;31250000;34600000
2033738;Austurbær;25450000;4730000;29700000;33200000
2033739;Austurbær;24100000;4660000;29600000;33100000
2033705;Austurbær;24500000;4440000;28300000;31400000
2033652;Austurbær;16500000;3420000;20950000;23500000
2033740;Austurbær;25600000;4890000;31000000;34650000
2033940;Austurbær;17350000;3220000;20500000;23050000
2033926;Austurbær;16250000;3520000;22000000;24850000
2033651;Austurbær;20250000;4680000;31500000;34800000
2033706;Austurbær;28200000;4890000;31250000;34600000
2033938;Austurbær;18100000;3520000;21600000;24450000
2034278;Austurbær;24000000;4640000;29750000;33200000
2035060;Austurbær;20300000;3640000;25000000;27750000
2035062;Austurbær;16650000;3060000;21000000;23400000
2035063;Austurbær;31940000;4730000;33450000;36850000
2036670;Austurbær;22700000;4680000;28300000;31700000
2036672;Austurbær;13300000;2690000;16700000;18950000
2035401;Austurbær;23450000;4360000;27250000;29100000
2036669;Austurbær;22700000;4680000;28300000;31700000
2036696;Austurbær;13950000;3030000;18200000;20600000
2034279;Austurbær;17550000;3440000;21800000;24550000
2036698;Austurbær;22750000;4610000;28400000;31850000
2036671;Austurbær;14750000;3100000;19100000;21550000
2034311;Austurbær;26950000;4550000;29900000;33400000
2035061;Austurbær;16600000;3050000;20950000;23350000
2036704;Austurbær;26450000;4680000;29250000;32800000
2036703;Austurbær;24800000;4680000;29350000;32850000
2036700;Austurbær;22750000;4610000;28750000;32100000
2016667;Austurbær;30150000;5160000;35250000;39200000
2016800;Austurbær;28950000;5200000;35550000;39850000
2016801;Austurbær;31250000;5480000;37500000;41450000
2016668;Austurbær;26250000;4600000;32250000;36000000
2036701;Austurbær;11850000;2640000;15750000;17900000
2016799;Austurbær;20600000;4080000;25400000;28600000
2016976;Austurbær;19100000;3680000;25400000;28300000
2037412;Austurbær;23850000;4790000;29600000;33150000
2016974;Austurbær;16950000;3410000;21200000;23950000
2017147;Austurbær;20600000;3830000;23850000;26850000
2037572;Austurbær;23100000;4810000;29650000;33200000
2037571;Austurbær;23950000;4790000;29600000;33150000
2037573;Austurbær;23050000;4800000;29900000;33400000
2037032;Austurbær;33510000;6860000;41100000;45500000
2016975;Austurbær;27290000;4590000;31500000;35100000
2016970;Austurbær;15700000;3110000;21650000;24400000
2018109;Austurbær;15850000;3440000;20700000;23350000
2018042;Austurbær;11650000;2600000;17400000;19850000
2018397;Austurbær;33840000;5380000;36750000;40700000
2018398;Austurbær;23600000;4200000;29050000;32650000
2018423;Austurbær;30750000;4770000;33300000;36950000
2018441;Austurbær;28750000;5170000;35450000;38650000
2019014;Austurbær;32650000;5620000;38850000;43400000
2019015;Austurbær;31450000;5630000;38500000;43100000
2018888;Austurbær;12350000;2650000;16750000;19000000
2019468;Austurbær;24700000;4380000;27300000;30650000
2019469;Austurbær;28590000;4940000;34250000;37950000
2019513;Austurbær;32100000;4780000;33350000;36650000
2019470;Austurbær;13250000;2670000;18500000;20950000
2019515;Austurbær;31950000;4780000;32500000;35750000
2020008;Austurbær;16400000;3140000;19650000;22250000
2020010;Austurbær;21850000;4020000;27000000;30450000
2020026;Austurbær;22800000;4260000;26250000;30000000
2020264;Austurbær;15300000;3020000;20400000;23100000
2020500;Austurbær;27470000;4860000;33950000;37700000
2020514;Austurbær;21150000;4200000;26150000;29350000
2021801;Austurbær;34550000;5630000;39450000;44050000
2022025;Austurbær;23250000;3780000;25200000;28450000
2021802;Austurbær;26000000;4670000;32200000;36150000
2021354;Austurbær;27000000;5090000;35150000;39400000
2022285;Austurbær;13050000;2650000;17900000;20900000
2022035;Austurbær;22850000;4420000;28150000;31800000
2022274;Austurbær;19200000;3600000;23700000;27300000
2022279;Austurbær;18650000;3580000;23750000;27500000
2022185;Austurbær;22300000;4110000;26600000;30350000
2022184;Austurbær;22600000;4140000;26800000;30600000
2022275;Austurbær;13050000;2660000;17500000;20350000
2022407;Austurbær;15750000;3170000;20450000;23250000
2022849;Austurbær;17900000;2690000;17850000;20200000
2022828;Austurbær;15200000;3200000;19700000;22300000
2023082;Austurbær;20900000;4330000;27500000;30900000
2023134;Austurbær;24850000;4460000;30150000;33950000
2023033;Austurbær;15520000;3290000;20050000;22650000
2023141;Austurbær;24500000;4660000;32300000;36200000
2031641;Austurbær;22510000;4000000;25750000;29600000
2032208;Austurbær;20550000;4660000;27700000;31200000
2032209;Austurbær;28400000;6140000;36500000;40850000
2032225;Austurbær;30350000;6290000;38250000;42850000
2035587;Austurbær;27750000;4740000;32300000;35550000
2035757;Austurbær;18880000;3880000;26100000;29250000
2035756;Austurbær;19060000;3930000;26400000;29650000
2035604;Austurbær;22300000;4300000;29550000;33300000
2035609;Austurbær;34930000;5670000;38950000;43250000
2035607;Austurbær;19300000;3730000;23100000;26200000
2036138;Austurbær;34280000;5300000;35700000;39600000
2036130;Austurbær;37250000;5300000;36100000;40150000
2036137;Austurbær;35320000;5280000;35700000;39700000
2036135;Austurbær;34930000;5300000;36500000;40500000
2037574;Austurbær;24050000;4800000;30050000;33500000
2037577;Austurbær;24050000;4790000;29000000;32550000
2037427;Austurbær;24250000;4790000;29000000;32400000
2037578;Austurbær;23150000;4800000;29600000;33150000
2009770;Austurbær;17150000;2910000;19100000;21400000
2009768;Austurbær;22450000;4360000;28600000;31750000
2014987;Austurbær;31550000;4720000;31850000;35550000
2014984;Austurbær;32470000;4720000;31500000;35150000
2013778;Austurbær;18100000;3540000;22950000;26450000
2013773;Austurbær;17600000;3450000;22350000;25800000
2014768;Austurbær;21150000;3690000;23900000;27550000
2014982;Austurbær;32200000;4740000;31950000;35700000
2014058;Austurbær;18600000;4140000;26250000;29450000
2015357;Austurbær;33100000;5220000;35200000;39050000
2015469;Austurbær;17350000;3400000;21150000;23700000
2015466;Austurbær;24900000;4370000;29300000;32700000
2015383;Austurbær;18150000;3280000;21900000;24650000
2015467;Austurbær;26400000;4420000;28850000;32200000
2015092;Austurbær;24550000;4110000;25150000;28050000
2015091;Austurbær;31000000;5280000;34300000;38200000
2015468;Austurbær;24900000;4370000;28950000;32350000
2015470;Austurbær;16850000;3030000;20100000;22650000
2015093;Austurbær;13700000;2570000;16650000;18900000
2015471;Austurbær;18700000;3420000;21550000;24300000
2015473;Austurbær;16650000;3010000;19950000;22500000
2015472;Austurbær;25900000;4360000;29200000;32650000
2015474;Austurbær;19150000;3400000;22500000;25350000
2015498;Austurbær;26000000;4480000;29950000;33500000
2015497;Austurbær;23050000;3990000;26650000;29900000
2016312;Austurbær;24750000;4780000;32450000;36450000
2015988;Austurbær;21000000;4300000;27150000;30350000
2016099;Austurbær;27650000;4420000;28100000;31550000
2016336;Austurbær;21550000;4100000;25800000;29000000
2016034;Austurbær;25740000;4340000;28400000;32200000
2016458;Austurbær;22450000;4040000;25650000;29050000
2016457;Austurbær;24150000;4340000;28150000;31800000
2016454;Austurbær;21250000;4040000;25750000;29200000
2016652;Austurbær;27750000;5290000;36150000;40500000
2017792;Austurbær;16900000;3370000;23300000;26250000
2017295;Austurbær;13100000;2970000;19750000;22500000
2017550;Austurbær;17600000;3010000;19800000;22200000
2018914;Austurbær;28350000;6250000;38350000;42250000
2018146;Austurbær;21550000;3580000;23600000;26500000
2018158;Austurbær;21500000;3590000;23750000;27000000
2018114;Austurbær;26490000;5000000;34150000;37850000
2018184;Austurbær;20750000;3590000;24250000;27600000
2018143;Austurbær;21450000;3580000;23550000;26450000
2018145;Austurbær;22950000;3780000;24850000;27900000
2018113;Austurbær;19200000;3780000;23500000;26500000
2019787;Austurbær;12650000;2670000;17200000;19950000
2019789;Austurbær;12900000;2710000;17850000;20700000
2019687;Austurbær;12800000;2690000;17100000;19600000
2019688;Austurbær;12850000;2690000;17100000;19600000
2020529;Austurbær;12000000;2660000;17000000;19300000
2020265;Austurbær;31600000;5460000;37750000;42150000
2020363;Austurbær;22970000;4200000;28650000;32250000
2022420;Austurbær;17400000;3240000;20550000;23350000
2022248;Austurbær;15750000;3150000;20050000;22800000
2022244;Austurbær;12800000;2660000;18000000;21000000
2021816;Austurbær;17900000;3480000;23250000;26350000
2020848;Austurbær;25450000;3780000;24500000;26800000
2022425;Austurbær;20000000;3620000;23200000;26300000
2022418;Austurbær;17000000;3240000;20750000;23600000
2022726;Austurbær;18950000;3950000;27800000;29850000
2030141;Austurbær;21600000;4820000;31700000;35750000
2030569;Austurbær;14950000;3200000;19900000;22750000
2030366;Austurbær;19350000;4320000;25900000;29200000
2030365;Austurbær;26700000;5610000;34000000;38300000
2030568;Austurbær;18200000;3540000;20500000;23300000
2030371;Austurbær;29600000;5940000;39100000;43900000
2030566;Austurbær;15550000;3150000;19650000;22450000
2030364;Austurbær;25550000;5430000;32950000;37150000
2030580;Austurbær;9310000;2300000;14650000;16650000
2030583;Austurbær;15850000;3220000;20000000;22900000
2031036;Austurbær;20700000;4200000;26000000;29800000
2033356;Austurbær;26590000;5210000;32600000;36250000
2033718;Austurbær;28600000;5040000;29400000;32500000
2033712;Austurbær;28350000;4980000;29450000;32600000
2033754;Austurbær;26430000;4940000;31600000;35100000
2033713;Austurbær;24350000;4440000;26200000;29050000
2033753;Austurbær;30330000;5390000;34500000;38050000
2033741;Austurbær;25400000;4680000;29700000;33200000
2033714;Austurbær;34490000;5770000;34100000;37200000
2033711;Austurbær;24350000;4450000;26200000;29050000
2034010;Austurbær;15950000;3340000;20700000;23350000
2034011;Austurbær;19100000;3800000;23500000;26400000
2034013;Austurbær;19500000;3790000;23700000;26650000
2034180;Austurbær;33810000;5760000;38100000;43050000
2034182;Austurbær;36510000;6140000;41500000;46700000
2034181;Austurbær;35010000;5890000;39850000;44900000
2037046;Austurbær;25850000;5310000;32150000;35950000
2037373;Austurbær;25550000;5220000;32650000;36350000
2037044;Austurbær;26700000;5310000;31950000;35850000
2037036;Austurbær;15250000;3360000;20150000;22750000
2037045;Austurbær;24400000;5060000;30600000;34250000
2037043;Austurbær;23900000;5060000;30150000;33900000
2037951;Austurbær;13050000;3080000;18450000;20850000
2037550;Austurbær;24550000;4840000;30550000;34050000
2037556;Austurbær;23750000;4840000;30050000;33600000
2037554;Austurbær;23950000;4870000;29850000;33500000
2037555;Austurbær;25050000;4860000;30450000;34000000
2038126;Austurbær;32800000;5080000;32700000;36500000
2037952;Austurbær;19200000;4300000;25800000;29000000
2038125;Austurbær;33400000;5080000;32900000;36700000
2037955;Austurbær;24300000;5180000;31400000;35000000
2038166;Austurbær;8320000;2110000;11350000;13000000
2008429;Austurbær;11500000;2950000;15950000;18600000
2008430;Austurbær;8090000;2210000;12850000;15100000
2009547;Austurbær;17850000;3800000;24150000;26700000
2009604;Austurbær;12300000;2840000;17550000;19750000
2009610;Austurbær;9940000;2480000;15350000;17300000
2009678;Austurbær;13800000;2950000;18300000;20550000
2009608;Austurbær;12250000;2840000;17350000;19500000
2009611;Austurbær;12700000;3040000;18800000;21150000
2009549;Austurbær;8720000;2160000;14150000;15900000
2009566;Austurbær;9330000;2610000;16600000;18550000
2009565;Austurbær;8210000;2550000;14750000;16500000
2009886;Austurbær;12650000;2560000;16450000;18550000
2009771;Austurbær;16850000;2910000;18650000;20950000
2009772;Austurbær;10100000;1865000;12550000;14100000
2009794;Austurbær;8950000;1880000;12050000;13700000
2010153;Austurbær;25900000;5340000;34600000;38100000
2010278;Austurbær;16800000;3390000;21700000;24000000
2010275;Austurbær;28720000;4940000;32550000;35650000
2010380;Austurbær;16450000;3580000;22450000;25900000
2009795;Austurbær;19500000;3590000;23000000;25750000
2010276;Austurbær;27900000;5240000;33550000;36700000
2010273;Austurbær;23170000;4090000;27200000;29900000
2009796;Austurbær;29850000;5130000;35000000;38050000
2010382;Austurbær;15600000;3520000;21800000;25300000
2010381;Austurbær;15800000;3480000;21800000;25200000
2009887;Austurbær;15200000;3110000;19800000;22200000
2010274;Austurbær;20650000;4240000;27150000;29950000
2010383;Austurbær;16100000;3630000;22450000;26050000
2010386;Austurbær;15850000;3480000;21800000;25200000
2011098;Austurbær;14750000;2940000;19500000;22600000
2010387;Austurbær;15600000;3560000;22300000;25750000
2010863;Austurbær;15000000;3200000;20100000;23250000
